lemma	count
biti	312768
tako	257679
imeti	242280
priti	154921
vedeti	148044
videti	133535
moči	133431
kako	133180
ali	128724
hoteti	124684
morati	121774
reči	120448
zdaj	108060
dati	94377
potem	86989
misliti	83193
gledati	79145
govoriti	73758
mati	67115
povedati	66870
mož	65251
tam	64143
lahko	63705
rad	60997
res	60964
dobro	58808
tu	58153
zopet	57566
stati	56333
bolj	55957
vprašati	51287
zakaj	49997
ostati	47466
stopiti	46961
praviti	46328
sedaj	46204
vzeti	45330
zdeti	42266
tedaj	40484
treba	39572
dejati	38538
kar	37582
delati	37239
sedeti	35880
storiti	35150
kraj	34813
čakati	34779
dolgo	33718
ljubiti	33430
kje	32016
pravi	31966
ako	31277
spet	31203
postati	29754
slovenski	29635
nekoliko	28985
znati	28141
bati	28017
pustiti	27510
doma	26959
nikoli	26639
ležati	26158
i	26026
dekle	25866
tukaj	25800
gotovo	25729
čutiti	25720
dalje	25411
pokazati	25312
takrat	25016
gora	24575
odpreti	24157
mali	24124
enkrat	23499
torej	23387
nikdar	23300
nato	23123
meniti	22962
poln	22739
lepo	22476
mogoč	22398
obrniti	22352
spoznati	22308
volja	21629
o	21443
vstati	20434
kdaj	20357
upati	19669
kam	19519
janez	19026
bosti	18847
deklica	18694
želeti	18659
spati	18549
prijeti	18176
domač	18058
posebno	18042
dežela	17920
smejati	17826
skoro	17824
kazati	17784
precej	17716
sila	17648
zagledati	17421
voz	17252
gospodar	17179
pozno	17142
zlat	16788
napraviti	16617
molčati	16586
postaviti	16447
spraviti	16399
pravica	16358
peter	16287
hip	16035
ozreti	15664
se	15492
ljubljana	15282
mama	15033
oh	15023
las	15007
ustaviti	14961
znan	14753
klicati	14508
ivan	14417
opaziti	14387
reč	14304
luč	14255
marija	14123
včasih	13829
li	13804
pričeti	13799
spomniti	13553
ubog	13529
nemški	13509
stena	13432
zato	13373
brati	13352
prav	13315
župnik	13297
peljati	13232
dajati	13119
čuti	13080
teči	13059
najbolj	12966
jako	12778
sanja	12760
služba	12712
zaklicati	12660
slovenec	12555
podoba	12266
skočiti	12188
imenovati	12119
naglo	12099
ah	11897
oglasiti	11876
hlapec	11690
globoko	11501
tretji	11482
ljudstvo	11464
vreden	11450
skleniti	11420
bogo	11391
ljub	11252
svetel	11185
vselej	11181
pomisliti	11174
položiti	11095
poklicati	11045
visoko	10965
solnce	10818
vleči	10698
raje	10644
ž	10643
hudo	10563
človeški	10549
zvedeti	10524
lasten	10515
gospodičen	10464
težko	10375
učiti	10373
ino	10317
zadeti	10290
sesti	10276
smeh	10158
greh	10148
skala	10063
goditi	10048
zvečer	10042
jeden	10025
marati	9953
doktor	9830
nekako	9813
stopati	9803
podati	9796
red	9770
e	9770
nekdaj	9747
prilika	9735
ha	9731
siliti	9636
desen	9589
spominjati	9584
andrej	9566
nesti	9502
glasno	9485
jurij	9483
droben	9457
domovina	9447
pripeljati	9415
naroden	9356
vse	9346
helena	9318
veseliti	9315
deček	9305
naposled	9290
bežati	9241
mehek	9159
najprej	9116
starec	9106
hrib	9092
