review_emotion	_review_score	_review_score_source	segment_id	unit	doc_id	token_count	lexical_token_count	emotion_anger_count	emotion_anger_per_1k	emotion_anger_prop	intensity_anger_mean	emotion_anticipation_count	emotion_anticipation_per_1k	emotion_anticipation_prop	intensity_anticipation_mean	emotion_disgust_count	emotion_disgust_per_1k	emotion_disgust_prop	intensity_disgust_mean	emotion_fear_count	emotion_fear_per_1k	emotion_fear_prop	intensity_fear_mean	emotion_joy_count	emotion_joy_per_1k	emotion_joy_prop	intensity_joy_mean	emotion_sadness_count	emotion_sadness_per_1k	emotion_sadness_prop	intensity_sadness_mean	emotion_surprise_count	emotion_surprise_per_1k	emotion_surprise_prop	intensity_surprise_mean	emotion_trust_count	emotion_trust_per_1k	emotion_trust_prop	intensity_trust_mean	sentiment_positive_count	sentiment_positive_per_1k	sentiment_negative_count	sentiment_negative_per_1k	vad_valence_mean	vad_arousal_mean	vad_dominance_mean	sentiment_balance	lexicon_hit_count	lexicon_unique_hit_count	lexicon_coverage	dominant_emotion	dominant_emotion_score	source_xml	xml_doc_index	title	author	century	genre	publication	category	year	language
emotion_trust_per_1k	367.5675675675676	emotion_trust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-002910::window::1	window	wikivir-002910	385	185	12.0	64.86486486486487	0.06451612903225806	0.010565573770491802	34.0	183.7837837837838	0.1827956989247312	0.12888524590163936	12.0	64.86486486486487	0.06451612903225806	0.02015573770491803	23.0	124.32432432432434	0.12365591397849462	0.02578688524590164	26.0	140.54054054054055	0.13978494623655913	0.2219016393442623	4.0	21.62162162162162	0.021505376344086023	0.026401639344262297	7.0	37.83783783783784	0.03763440860215054	0.02030327868852459	68.0	367.5675675675676	0.3655913978494624	0.36137704918032787	76.0	410.81081081081084	20.0	108.10810810810811	0.7051997950819671	0.4234829234972677	0.643411543715847	0.5833333333333334	122	63	0.6594594594594595	trust	0.3655913978494624	wikivir.cleaned.xml	2910	Sveta maša			neleposlovje				
emotion_joy_per_1k	365.5913978494624	emotion_joy_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-015618::window::1	window	wikivir-015618	252	93	2.0	21.505376344086024	0.017543859649122806	0.013720000000000001	22.0	236.55913978494624	0.19298245614035087	0.20632	0.0	0.0	0.0	0.0	17.0	182.7956989247312	0.14912280701754385	0.04038	34.0	365.5913978494624	0.2982456140350877	0.4174	3.0	32.25806451612903	0.02631578947368421	0.02112	9.0	96.77419354838709	0.07894736842105263	0.08516	27.0	290.32258064516134	0.23684210526315788	0.38358	41.0	440.86021505376345	4.0	43.01075268817205	0.7635579999999998	0.4999433333333333	0.7490516666666668	0.8222222222222222	50	27	0.5376344086021505	joy	0.2982456140350877	wikivir.cleaned.xml	15618	O Bog, o Bog, kak' srečen sem!	Jožef Muršec	19	pesmi				
emotion_joy_per_1k	365.5913978494624	emotion_joy_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-015618::document::1	document	wikivir-015618	253	93	2.0	21.505376344086024	0.017543859649122806	0.013720000000000001	22.0	236.55913978494624	0.19298245614035087	0.20632	0.0	0.0	0.0	0.0	17.0	182.7956989247312	0.14912280701754385	0.04038	34.0	365.5913978494624	0.2982456140350877	0.4174	3.0	32.25806451612903	0.02631578947368421	0.02112	9.0	96.77419354838709	0.07894736842105263	0.08516	27.0	290.32258064516134	0.23684210526315788	0.38358	41.0	440.86021505376345	4.0	43.01075268817205	0.7635579999999998	0.4999433333333333	0.7490516666666668	0.8222222222222222	50	27	0.5376344086021505	joy	0.2982456140350877	wikivir.cleaned.xml	15618	O Bog, o Bog, kak' srečen sem!	Jožef Muršec	19	pesmi				
emotion_joy_per_1k	329.7872340425532	emotion_joy_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-006245::window::1	window	wikivir-006245	468	94	0.0	0.0	0.0	0.0	29.0	308.51063829787233	0.30526315789473685	0.18616666666666665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001893939393939394	31.0	329.78723404255317	0.3263157894736842	0.23478787878787877	0.0	0.0	0.0	0.00493939393939394	6.0	63.82978723404255	0.06315789473684211	0.03245454545454545	29.0	308.51063829787233	0.30526315789473685	0.18128787878787878	34.0	361.7021276595745	1.0	10.638297872340425	0.7397651515151515	0.4426666666666667	0.5097285353535354	0.9428571428571428	66	43	0.7021276595744681	joy	0.3263157894736842	wikivir.cleaned.xml	6245	Lep je	Mojiceja Podgoršek	21	pesmi				
emotion_joy_per_1k	329.7872340425532	emotion_joy_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-006245::document::1	document	wikivir-006245	479	94	0.0	0.0	0.0	0.0	29.0	308.51063829787233	0.30526315789473685	0.18616666666666665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001893939393939394	31.0	329.78723404255317	0.3263157894736842	0.23478787878787877	0.0	0.0	0.0	0.00493939393939394	6.0	63.82978723404255	0.06315789473684211	0.03245454545454545	29.0	308.51063829787233	0.30526315789473685	0.18128787878787878	34.0	361.7021276595745	1.0	10.638297872340425	0.7397651515151515	0.4426666666666667	0.5097285353535354	0.9428571428571428	66	43	0.7021276595744681	joy	0.3263157894736842	wikivir.cleaned.xml	6245	Lep je	Mojiceja Podgoršek	21	pesmi				
emotion_trust_per_1k	328.2442748091603	emotion_trust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-017087::window::64	window	wikivir-017087	348	131	0.0	0.0	0.0	0.0	5.0	38.16793893129771	0.10416666666666667	0.03403846153846154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013807692307692307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	328.2442748091603	0.8958333333333334	0.34698717948717944	23.0	175.57251908396944	4.0	30.534351145038165	0.6793555555555556	0.43588119658119656	0.6505679487179488	0.7037037037037037	78	32	0.5954198473282443	trust	0.8958333333333334	wikivir.cleaned.xml	17087	Oblaki nad sončno deželo	Črtomir Šinkovec	20	proza				
emotion_trust_per_1k	317.36526946107784	emotion_trust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-002910::window::10	window	wikivir-002910	361	167	5.0	29.940119760479043	0.03571428571428571	0.023780000000000003	30.0	179.64071856287424	0.21428571428571427	0.13548000000000002	2.0	11.976047904191617	0.014285714285714285	0.00907	9.0	53.89221556886228	0.06428571428571428	0.03079	31.0	185.62874251497004	0.22142857142857142	0.21309	4.0	23.952095808383234	0.02857142857142857	0.022629999999999997	6.0	35.92814371257485	0.04285714285714286	0.01508	53.0	317.36526946107784	0.37857142857142856	0.33483999999999997	59.0	353.2934131736527	9.0	53.89221556886228	0.6905645833333333	0.4442258333333334	0.6260370833333333	0.7352941176470589	100	61	0.5988023952095808	trust	0.37857142857142856	wikivir.cleaned.xml	2910	Sveta maša			neleposlovje				
emotion_trust_per_1k	294.11764705882354	emotion_trust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-002910::window::11	window	wikivir-002910	356	187	6.0	32.0855614973262	0.041379310344827586	0.012542056074766356	32.0	171.12299465240642	0.2206896551724138	0.13937383177570092	4.0	21.390374331550802	0.027586206896551724	0.00702803738317757	11.0	58.8235294117647	0.07586206896551724	0.02119626168224299	30.0	160.42780748663102	0.20689655172413793	0.2196355140186916	1.0	5.347593582887701	0.006896551724137931	0.005803738317757009	6.0	32.0855614973262	0.041379310344827586	0.018327102803738317	55.0	294.11764705882354	0.3793103448275862	0.30783177570093456	65.0	347.59358288770056	7.0	37.4331550802139	0.6798543613707164	0.42576635514018696	0.6222437694704049	0.8055555555555556	107	64	0.5721925133689839	trust	0.3793103448275862	wikivir.cleaned.xml	2910	Sveta maša			neleposlovje				
emotion_trust_per_1k	293.10344827586204	emotion_trust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-019260::document::1	document	wikivir-019260	376	232	11.0	47.41379310344827	0.05699481865284974	0.0115234375	40.0	172.41379310344828	0.20725388601036268	0.13877343749999999	11.0	47.41379310344827	0.05699481865284974	0.019625	19.0	81.89655172413792	0.09844559585492228	0.033437499999999995	27.0	116.37931034482759	0.13989637305699482	0.166953125	7.0	30.17241379310345	0.03626943005181347	0.0309453125	10.0	43.10344827586207	0.05181347150259067	0.032640625	68.0	293.10344827586204	0.35233160621761656	0.3200703125	75.0	323.2758620689655	16.0	68.9655172413793	0.7158811941964285	0.44435435267857143	0.642384412202381	0.6483516483516484	128	65	0.5517241379310345	trust	0.35233160621761656	wikivir.cleaned.xml	19260	Litanije Matere Božje (lavretanske litanije)			krscanske molitve				
emotion_trust_per_1k	292.81767955801104	emotion_trust_per_1k; lexical_token_count>=80; word_token_count>=80	wikivir-018788::window::1	window	wikivir-018788	450	181	8.0	44.19889502762431	0.05673758865248227	0.014115789473684212	22.0	121.54696132596685	0.15602836879432624	0.10522105263157897	7.0	38.67403314917127	0.04964539007092199	0.019768421052631577	24.0	132.5966850828729	0.1702127659574468	0.02086315789473684	23.0	127.0718232044199	0.16312056737588654	0.11842105263157894	4.0	22.099447513812155	0.028368794326241134	0.010610526315789473	0.0	0.0	0.0	0.0	53.0	292.81767955801104	0.375886524822695	0.3054210526315789	39.0	215.4696132596685	11.0	60.773480662983424	0.6483083333333334	0.4652912280701755	0.6336627192982456	0.56	95	46	0.5248618784530387	trust	0.375886524822695	wikivir.cleaned.xml	18788	Tragedija iz življenja enoletnega prostovoljca	Anton Melik	20	dramska besedila			1910	
