metric	value
lexicon_rows	19998
lexicon_keys	16711
corpus_word_tokens	61814387
corpus_word_token_hits	16513272
corpus_word_token_coverage	0.26714285785928765
lexicon_word_columns	Slovenian word(s)
detected_emotion_columns	"{""anger"": [""Anger""], ""anticipation"": [""Anticipation""], ""disgust"": [""Disgust""], ""fear"": [""Fear""], ""joy"": [""Joy""], ""sadness"": [""Sadness""], ""surprise"": [""Surprise""], ""trust"": [""Trust""]}"
detected_intensity_columns	"{""anger"": [""Anger-intensity""], ""anticipation"": [""Anticipation-intensity""], ""disgust"": [""Disgust-intensity""], ""fear"": [""Fear-intensity""], ""joy"": [""Joy-intensity""], ""sadness"": [""Sadness-intensity""], ""surprise"": [""Surprise-intensity""], ""trust"": [""Trust-intensity""]}"
detected_sentiment_columns	"{""positive"": [""Positive""], ""negative"": [""Negative""]}"
detected_vad_columns	"{""valence"": [""Valence""], ""arousal"": [""Arousal""], ""dominance"": [""Dominance""]}"
