bertopic_topic	review_source	_review_score	review_score_source	segment_id	doc_id	unit	title	author	genre	century	year	text_preview_readable	bertopic_is_outlier	bertopic_probability	embedding_model	text_preview	source_xml	xml_doc_index	publication	category	language	unit_segment	doc_id_segment	sent_ids	n_sent_ids	token_count	word_token_count	lemma_token_count	text_preview_segment	source_xml_segment	xml_doc_index_segment	title_segment	author_segment	century_segment	genre_segment	publication_segment	category_segment	year_segment	language_segment	centroid_cosine
0	top_centroid	0.9206933435305374	centroid_cosine	wikivir-004503::window::8	wikivir-004503	window	Vesela vožnja	Ivan Hribar	humoreske	19		zdravniške prakse.« »Kaj še, jezdaril je; le poglejte ga; na kónji je moral biti nebeška prikazen!« Take in jednake zabavljice so se vsipale iz ust navzočnih gôstov, ki so se spustili v glasen smeh. D	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	zdravniške prakse.« »Kaj še, jezdaril je; le poglejte ga; na kónji je moral biti nebeška prikazen!« Take in jednake zabavljice so se vsipale iz ust navzočnih gôstov, ki so se spustili v glasen smeh. D	wikivir.cleaned.xml	4503				window	wikivir-004503	wikivir-004503.s000044|wikivir-004503.s000045|wikivir-004503.s000046|wikivir-004503.s000047|wikivir-004503.s000048|wikivir-004503.s000049|wikivir-004503.s000050|wikivir-004503.s000051|wikivir-004503.s000052|wikivir-004503.s000053|wikivir-004503.s000054|wikivir-004503.s000055|wikivir-004503.s000056|wikivir-004503.s000057|wikivir-004503.s000058|wikivir-004503.s000059|wikivir-004503.s000060|wikivir-004503.s000061|wikivir-004503.s000062|wikivir-004503.s000063	21	371	300	154	zdravniške prakse.« »Kaj še, jezdaril je; le poglejte ga; na kónji je moral biti nebeška prikazen!« Take in jednake zabavljice so se vsipale iz ust navzočnih gôstov, ki so se spustili v glasen smeh. Dohtar se je spočetka nekoliko jezil in odstavivši kozarec od usten je dregnil Kreména pod rébra, češ	wikivir.cleaned.xml	4503	Vesela vožnja	Ivan Hribar	19	humoreske					0.9206933435305374
0	top_centroid	0.9196642821483446	centroid_cosine	wikivir-016521::window::225	wikivir-016521	window	Iz spominov mlade žene	Anton Funtek	proza	19	1887	Josipa Severja? Pa čemu si ga preklinjal? Ali nisi vedel, da mi ne moreš nič?« Srdito je tolkel s palico ob tla in se zagrohotal divje. Zrl sem ga brez glasa. »Čuj, Bojan,« pričel je hipoma tiho, »gle	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	Josipa Severja? Pa čemu si ga preklinjal? Ali nisi vedel, da mi ne moreš nič?« Srdito je tolkel s palico ob tla in se zagrohotal divje. Zrl sem ga brez glasa. »Čuj, Bojan,« pričel je hipoma tiho, »gle	wikivir.cleaned.xml	16521				window	wikivir-016521	wikivir-016521.s003258|wikivir-016521.s003259|wikivir-016521.s003260|wikivir-016521.s003261|wikivir-016521.s003262|wikivir-016521.s003263|wikivir-016521.s003264|wikivir-016521.s003265|wikivir-016521.s003266|wikivir-016521.s003267|wikivir-016521.s003268|wikivir-016521.s003269|wikivir-016521.s003270|wikivir-016521.s003271|wikivir-016521.s003272|wikivir-016521.s003274|wikivir-016521.s003275|wikivir-016521.s003276|wikivir-016521.s003277|wikivir-016521.s003278	43	402	300	127	Josipa Severja? Pa čemu si ga preklinjal? Ali nisi vedel, da mi ne moreš nič?« Srdito je tolkel s palico ob tla in se zagrohotal divje. Zrl sem ga brez glasa. »Čuj, Bojan,« pričel je hipoma tiho, »glej, pravijo, da sem blazen. Ali blazen nisem. Ušel sem jim. Huj, čemu bi bil blazen? Komu koristi to?	wikivir.cleaned.xml	16521	Iz spominov mlade žene	Anton Funtek	19	proza			1887		0.9196642821483446
0	top_centroid	0.9186827950458157	centroid_cosine	wikivir-015751::window::112	wikivir-015751	window	Beli menihi	Ivan Zorec	zgodovinske povesti	20	1932	pa si že kakor voda in bi ubijal kakor Oger!« ga je Trlep tresel za ramo. »Potrpi, počakaj, nič se ne ve, kako se bo še obrnilo!« Trlep se je bal, da se vroči mladenič ne bi kako zaletel. Ugibal je, k	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	pa si že kakor voda in bi ubijal kakor Oger!« ga je Trlep tresel za ramo. »Potrpi, počakaj, nič se ne ve, kako se bo še obrnilo!« Trlep se je bal, da se vroči mladenič ne bi kako zaletel. Ugibal je, k	wikivir.cleaned.xml	15751				window	wikivir-015751	wikivir-015751.s001313|wikivir-015751.s001314|wikivir-015751.s001315|wikivir-015751.s001316|wikivir-015751.s001317|wikivir-015751.s001318|wikivir-015751.s001319|wikivir-015751.s001320|wikivir-015751.s001321|wikivir-015751.s001322|wikivir-015751.s001323|wikivir-015751.s001324|wikivir-015751.s001325|wikivir-015751.s001326|wikivir-015751.s001327|wikivir-015751.s001328|wikivir-015751.s001329|wikivir-015751.s001330|wikivir-015751.s001331|wikivir-015751.s001332	25	382	300	139	pa si že kakor voda in bi ubijal kakor Oger!« ga je Trlep tresel za ramo. »Potrpi, počakaj, nič se ne ve, kako se bo še obrnilo!« Trlep se je bal, da se vroči mladenič ne bi kako zaletel. Ugibal je, kaj bi bilo najpravše; naposled se je spomnil. »Veš kaj?« je dejal. »Šentvidski župnik je hud lovec i	wikivir.cleaned.xml	15751	Beli menihi	Ivan Zorec	20	zgodovinske povesti			1932		0.9186827950458157
0	top_centroid	0.9183303215003223	centroid_cosine	wikivir-004206::window::227	wikivir-004206	window	Domačija	France Bevk	proza	20		je v sramoti.« Zemljak je krčevito zgrabil za ročaj sekire in krenil čez usad, da so se mu noge do gležnjev udirale v lepko ilovico. Oči so mu divje, odločno sršele v soseda. »Tone!« ga je poklical Ko	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	je v sramoti.« Zemljak je krčevito zgrabil za ročaj sekire in krenil čez usad, da so se mu noge do gležnjev udirale v lepko ilovico. Oči so mu divje, odločno sršele v soseda. »Tone!« ga je poklical Ko	wikivir.cleaned.xml	4206				window	wikivir-004206	wikivir-004206.s004123|wikivir-004206.s004124|wikivir-004206.s004125|wikivir-004206.s004126|wikivir-004206.s004127|wikivir-004206.s004128|wikivir-004206.s004129|wikivir-004206.s004130|wikivir-004206.s004131|wikivir-004206.s004132|wikivir-004206.s004133|wikivir-004206.s004134|wikivir-004206.s004135|wikivir-004206.s004136|wikivir-004206.s004137|wikivir-004206.s004138|wikivir-004206.s004139|wikivir-004206.s004140|wikivir-004206.s004141|wikivir-004206.s004142	48	394	300	138	je v sramoti.« Zemljak je krčevito zgrabil za ročaj sekire in krenil čez usad, da so se mu noge do gležnjev udirale v lepko ilovico. Oči so mu divje, odločno sršele v soseda. »Tone!« ga je poklical Koren. »Bodi pameten!« Mož se je ustavil, brada mu je krčevito trepetala od razburjenja. »Ponovi, kar 	wikivir.cleaned.xml	4206	Domačija	France Bevk	20	proza					0.9183303215003223
0	top_centroid	0.9168659193504103	centroid_cosine	wikivir-015362::window::112	wikivir-015362	window	Deset povesti	Anton Novačan	povesti	20		hudiče vas je poslal,” je odvrnil zamolklo in stopil urno proti krčmi. Knezovka je vreščala za njim: “Greš v krčmo, ti tudi? Glej, da te ne zakolje ... Kadar je pijan, je kakor obseden. Zdaj ko se je	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	hudiče vas je poslal,” je odvrnil zamolklo in stopil urno proti krčmi. Knezovka je vreščala za njim: “Greš v krčmo, ti tudi? Glej, da te ne zakolje ... Kadar je pijan, je kakor obseden. Zdaj ko se je 	wikivir.cleaned.xml	15362				window	wikivir-015362	wikivir-015362.s001480|wikivir-015362.s001481|wikivir-015362.s001482|wikivir-015362.s001483|wikivir-015362.s001484|wikivir-015362.s001485|wikivir-015362.s001486|wikivir-015362.s001487|wikivir-015362.s001488|wikivir-015362.s001489|wikivir-015362.s001490|wikivir-015362.s001491|wikivir-015362.s001492|wikivir-015362.s001493|wikivir-015362.s001494|wikivir-015362.s001495|wikivir-015362.s001496|wikivir-015362.s001497|wikivir-015362.s001498|wikivir-015362.s001499	22	363	300	164	hudiče vas je poslal,” je odvrnil zamolklo in stopil urno proti krčmi. Knezovka je vreščala za njim: “Greš v krčmo, ti tudi? Glej, da te ne zakolje ... Kadar je pijan, je kakor obseden. Zdaj ko se je po svetu klatil, bo še hujše, le glej ...” Vrnila se je v hišo, toda že na pragu se je sesedla in st	wikivir.cleaned.xml	15362	Deset povesti	Anton Novačan	20	povesti					0.9168659193504103
0	top_centroid	0.9163197395946658	centroid_cosine	wikivir-018971::window::26	wikivir-018971	window	Slepa Marica		proza	19	1854	"Jez se tresem na vseh udih. Za božjo voljo, govori, kakova nesreča jo je zadela?"" — »Slepa je!"" — »Slepa? Marica slepa? nima več oči, da bi me vidila ž njimi! Gorje mi, gorje!"" Prevzet britkosti je bl"	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	"Jez se tresem na vseh udih. Za božjo voljo, govori, kakova nesreča jo je zadela?"" — »Slepa je!"" — »Slepa? Marica slepa? nima več oči, da bi me vidila ž njimi! Gorje mi, gorje!"" Prevzet britkosti je bl"	wikivir.cleaned.xml	18971				window	wikivir-018971	wikivir-018971.s000232|wikivir-018971.s000233|wikivir-018971.s000234|wikivir-018971.s000235|wikivir-018971.s000236|wikivir-018971.s000237|wikivir-018971.s000238|wikivir-018971.s000239|wikivir-018971.s000240|wikivir-018971.s000241|wikivir-018971.s000242|wikivir-018971.s000243|wikivir-018971.s000244|wikivir-018971.s000245|wikivir-018971.s000246|wikivir-018971.s000247|wikivir-018971.s000248|wikivir-018971.s000249|wikivir-018971.s000250|wikivir-018971.s000251	25	367	300	166	"Jez se tresem na vseh udih. Za božjo voljo, govori, kakova nesreča jo je zadela?"" — »Slepa je!"" — »Slepa? Marica slepa? nima več oči, da bi me vidila ž njimi! Gorje mi, gorje!"" Prevzet britkosti je blagutal k klopi ter se na njo zgrudil. Zagrebač se je pred njega vstopil in rekel: — »Ravno bo deset "	wikivir.cleaned.xml	18971	Slepa Marica		19	proza			1854		0.9163197395946658
0	top_centroid	0.9100098602569268	centroid_cosine	wikivir-000969::window::289	wikivir-000969	window	V smrtni senci	Matija Prelesnik	zgodovinske povesti	20	1904	imel že vse steklene; z desnico je krčevito tiščal rano, iz katere je curkoma vrela kri; bil je v zadnjih pojemljajih. Se je siknil z glasom hropečim, onemoglim: „Prokleta Vanda!“ — pa mu je odpovedal	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	imel že vse steklene; z desnico je krčevito tiščal rano, iz katere je curkoma vrela kri; bil je v zadnjih pojemljajih. Se je siknil z glasom hropečim, onemoglim: „Prokleta Vanda!“ — pa mu je odpovedal	wikivir.cleaned.xml	969				window	wikivir-000969	wikivir-000969.s008048|wikivir-000969.s008049|wikivir-000969.s008050|wikivir-000969.s008051|wikivir-000969.s008052|wikivir-000969.s008053|wikivir-000969.s008054|wikivir-000969.s008055|wikivir-000969.s008056|wikivir-000969.s008057|wikivir-000969.s008058|wikivir-000969.s008059|wikivir-000969.s008060|wikivir-000969.s008061|wikivir-000969.s008062|wikivir-000969.s008063|wikivir-000969.s008064|wikivir-000969.s008065|wikivir-000969.s008066|wikivir-000969.s008067	56	379	300	163	imel že vse steklene; z desnico je krčevito tiščal rano, iz katere je curkoma vrela kri; bil je v zadnjih pojemljajih. Se je siknil z glasom hropečim, onemoglim: „Prokleta Vanda!“ — pa mu je odpovedal jezik, odpovedali tudi vsi drugi udje: preminil je. „Že dobro; sedaj vse vem“, je rekel Gojnik in s	wikivir.cleaned.xml	969	V smrtni senci	Matija Prelesnik	20	zgodovinske povesti			1904		0.9100098602569268
0	top_centroid	0.9095058398929237	centroid_cosine	wikivir-014336::window::39	wikivir-014336	window	Na kmetih	Zofka Kveder	kmecke povesti	19		pomeni.“ „Res ni prenapačen!“ Malo dalje pa je hlapec jezno sunil mlajšo deklo, ko je prišel snopje povezovat. „Še enkrat mi ga poglej! Naklestim tebe in njega, da bosta imela dosti!“ Hlapec je zaklel	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	pomeni.“ „Res ni prenapačen!“ Malo dalje pa je hlapec jezno sunil mlajšo deklo, ko je prišel snopje povezovat. „Še enkrat mi ga poglej! Naklestim tebe in njega, da bosta imela dosti!“ Hlapec je zaklel	wikivir.cleaned.xml	14336				window	wikivir-014336	wikivir-014336.s000486|wikivir-014336.s000487|wikivir-014336.s000488|wikivir-014336.s000489|wikivir-014336.s000490|wikivir-014336.s000491|wikivir-014336.s000492|wikivir-014336.s000493|wikivir-014336.s000494|wikivir-014336.s000495|wikivir-014336.s000496|wikivir-014336.s000497|wikivir-014336.s000498|wikivir-014336.s000499|wikivir-014336.s000500|wikivir-014336.s000501|wikivir-014336.s000502|wikivir-014336.s000503|wikivir-014336.s000504|wikivir-014336.s000505	31	362	300	160	pomeni.“ „Res ni prenapačen!“ Malo dalje pa je hlapec jezno sunil mlajšo deklo, ko je prišel snopje povezovat. „Še enkrat mi ga poglej! Naklestim tebe in njega, da bosta imela dosti!“ Hlapec je zaklel robato, mlada Rezika je pa vendar mislila, kako lepe, majhne roke in kako gladek obraz ima ta Reich	wikivir.cleaned.xml	14336	Na kmetih	Zofka Kveder	19	kmecke povesti					0.9095058398929237
0	top_centroid	0.9085423510466903	centroid_cosine	wikivir-002782::window::16	wikivir-002782	window	Sodnikovi	Josip Stritar	romani	19		"ter zakriči v vežo: „Kaj to? Žive duše ni; vina gori! Strela!"" Ko nazaj grede zagleda Brezarja za mizo, obstoji ter se zadere nad njim: „Kaj pa ti tukaj, potepuh?"" Brezarju šine kri v obraz, pri tej p"	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	"ter zakriči v vežo: „Kaj to? Žive duše ni; vina gori! Strela!"" Ko nazaj grede zagleda Brezarja za mizo, obstoji ter se zadere nad njim: „Kaj pa ti tukaj, potepuh?"" Brezarju šine kri v obraz, pri tej p"	wikivir.cleaned.xml	2782				window	wikivir-002782	wikivir-002782.s000164|wikivir-002782.s000165|wikivir-002782.s000166|wikivir-002782.s000167|wikivir-002782.s000168|wikivir-002782.s000169|wikivir-002782.s000170|wikivir-002782.s000171|wikivir-002782.s000172|wikivir-002782.s000173|wikivir-002782.s000174|wikivir-002782.s000175|wikivir-002782.s000176|wikivir-002782.s000177|wikivir-002782.s000178|wikivir-002782.s000179|wikivir-002782.s000180|wikivir-002782.s000181|wikivir-002782.s000182|wikivir-002782.s000183	28	395	300	141	"ter zakriči v vežo: „Kaj to? Žive duše ni; vina gori! Strela!"" Ko nazaj grede zagleda Brezarja za mizo, obstoji ter se zadere nad njim: „Kaj pa ti tukaj, potepuh?"" Brezarju šine kri v obraz, pri tej priči vstane ter ga gleda; prsi so mu nemirne plale; vidno se je boril sam s sabo; slednjič mu mirno "	wikivir.cleaned.xml	2782	Sodnikovi	Josip Stritar	19	romani					0.9085423510466903
0	top_centroid	0.9079733368579452	centroid_cosine	wikivir-002852::window::11	wikivir-002852	window	Draga kljunača	Rado Murnik	proza	20		mučni zadregi popraskal za ušesi. »Tudi frizirati se vam ni treba zdaj!« ga je nahrulil razjarjeni gospod, od jeze ves zardel. »Škoda, da niste prinesli še velikonočne raglje s sabo in velike metle, d	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	mučni zadregi popraskal za ušesi. »Tudi frizirati se vam ni treba zdaj!« ga je nahrulil razjarjeni gospod, od jeze ves zardel. »Škoda, da niste prinesli še velikonočne raglje s sabo in velike metle, d	wikivir.cleaned.xml	2852				window	wikivir-002852	wikivir-002852.s000275|wikivir-002852.s000276|wikivir-002852.s000277|wikivir-002852.s000278|wikivir-002852.s000279|wikivir-002852.s000280|wikivir-002852.s000281|wikivir-002852.s000282|wikivir-002852.s000283|wikivir-002852.s000284|wikivir-002852.s000285|wikivir-002852.s000286|wikivir-002852.s000287|wikivir-002852.s000288|wikivir-002852.s000289|wikivir-002852.s000290|wikivir-002852.s000291|wikivir-002852.s000292|wikivir-002852.s000293|wikivir-002852.s000294	51	387	300	165	mučni zadregi popraskal za ušesi. »Tudi frizirati se vam ni treba zdaj!« ga je nahrulil razjarjeni gospod, od jeze ves zardel. »Škoda, da niste prinesli še velikonočne raglje s sabo in velike metle, da bi laglje odganjali kljunače! Bodite no pametni!« Težko je zadržaval Lorenček smeh; brki so mu lez	wikivir.cleaned.xml	2852	Draga kljunača	Rado Murnik	20	proza					0.9079733368579452
